id,name,name_en,type,description,requirements,time_to_create,cost,duration,items
46,Сопротивление огню,Resist Fire,Обычное,"Объект (существо или предмет) и все что он имеет с собой получает иммунитет огню и жаре (но не электричеству).  Стоимость удваивается, если объект должен выдерживать температуру доменной печи или жерла вулкана. Стоимость утраивается, объект если должен выдерживать жару звезды или ядерного взрыва. Против боевых заклинаний школы огня достаточно первого уровня.","Extinguish Fire, Cold",-,2-6,1 минута,"Посох, палочка или украшение. Действует только на носителя. 800 энергии, должна быть украшена рубином стоимостью от $500 и черным ониксом стоимостью от $200"
48,Вызов элементала (Огня),Summon (Fire) Elemental,Special,"Воздушные и водные элементалы способны перемещаться на несколько миль в рамках своей стихии, чтобы придти на зов заклинателя.  Заклинатель может задавать вопросы, простить о услуге и т.д. Сразу же делается бросок реакции эленментала на заклинателя.  При хорошей реакции элементал будет сотрудничать в течении часа а потом исчезнет. (При вызове элементала неплохо бы помнить о том, что они могут пойти на сделку, конечно если ты достаточно мудр, чтобы знать что заинтересует элементала)  Если заклинание используется (еще раз) кидается 1d, на 1-3 приходит новый элементал, на 4 и 5 приходит тот же что и в прошлый раз, на 6 никто не приходит. Если тот же элементал вызван в течении недели, его реакция с –4.","Magery, минимум 8 заклинаний соответствующей школы, или 4 заклинания соответствующей школы и заклинание вызова элементала другой стихи.",-,-,-,-
49,Управление элементалом (Огня),Control (Fire) Elemental,Special Защита по ST или IQ (что больше),-,Summon Elemental,-,-,-,"Псох, палочка или украшение украшенное изображениями соответствующей стихии – для каждой стихи – свой предмет. Не позволяет сотворять это заклинание но дает +2 при сотворении им данного заклинания, не кумулятивно. 1000 энергии $1300 золотом или платиной."
50,Создание элементала (Огня),Create (Fire) Elemental,Special,-,"Magery 2, Control Elemental",-,-,-,-
51,Свет,Light,Обычное,"Производит слабый свет, как от пламени свечи. Он остается на месте пока заклинатель не сконцентрируется на его перемещении. Перемещается со скоростью 5.",-,-,1 на сотворение 1 на поддержание,1 минута,"Посох, палочка или украшение. 100 энергии."
52,Постоянный свет,Continual Light,Обычное,"Сотворяется на небольшой объект (максимум размером с кулак или 1 фунт) или небольшую часть большого объекта, вызывая белое свечение этого объекта.",Свет,-,"2 за тусклое свечение, 4 за свет костра, 6 за свет такой яркости, что с близкого расстояния больно смотреть",2d дней,Любой предмет можно сделать светящимся вечно за стоимость в 100 раз большую чем вышеуказанная (т.е. 200 за тусклое свечение и т.д.).
53,Тень,Shade,Обычное,"Наводит тень на объект. Тень предотвращает солнечные ожоги и даёт некоторую защиту от жары (снижает температуру на 10°F, если Солнце – серьёзный источник жары). Эффект – как от невидимого зонтика. Это заклинание также относится к школе заклинаний Света.",-,10 секунд,1 сотворение. Половина поддержка,1 час,Посох или украшение. Действует лишь на носящего. Энергостоимость создания: 100
54,Вспышка,Flash,Обычное,"Создает яркую вспышку света. Она полностью ослепит того кто ее видит, и уменьшит DX остальных на 3. Действует на всех, кто повернут лицом к источнику света с открытыми глазами (если не использованы миниатюры – на усмотрение мастера). Заклинатель сам по себе не будет затронут, если он закроет глаза в момент сотворения заклинания. Все остальные создания в находящиеся области действия должны сделать бросок по HT для избежания худшего эффекта.   Расстояние Бросок по HT выполнен Бросок по HT провален   ближе 10 клеток 1 минута с –3 DX 3х секундное ослепление  1 минута с –3 к DX   от 11 до 25 клеток 10 секунд с –3 к DX 1 минута с –3 к DX   более 26 клеток никакого эффекта 3 секунды с –3 к DX",Постоянный свет,1 секунда,4,-,-
55,Палящие лучи,Scorching rays,Обычное,"Заклинание заставляет объек испускать более теплый свет, вплоть до температуры достигаемой промышленной ковкой.  По истечению времени, лучи остывают со скоростью 1 градус в секунду.",Свет,"15 секунд, столько же на поддержание. Каждые 15 секунд поднимют температуру лучей света на 5 градусов. Время может быть сокращено а двое, при удвоении стоимости, и так далее, но нельзя тратить меньще энергии при более медленном нагреве",3,1 минута,-
56,Малый Скачок,Small Leap,Обычное,"Заклинатель двигается со скоростью света, мгновенно для наблюдателей переместившись и приняв окончательную позу. Любые действия (атаки, толчки и т.д.) во время перемещения недоступны, т.к. мир выглядит замершим и искажается для самого заклинателя. Невозможно совершить Скачок сквозь отверстие, куда бы не пролез объект перемещения. Столкнувшись с припятствием, объект останавливается перед ним, получая 1d урона",Вспышка,2 секунды,3 за расстояние равное перемещению персонажа,-,-
57,Обжигающий Луч,Searing Beam,Метательное,"Позволяет заклинателю выпустить из рук направленный луч света, наносящий 3d проникающих повреждений всем целям на своем пути (с учетом урытий) и ослепляя их (см. солнечный снаряд). Дальность 100 клеток, ""ширина"" - 3 клетки с заклинателем в центре",Солнечный снаряд,6 секунд,"6, не поддерживается",-,-
58,Магический Щит,Magic Shield,Обычное,"Создает большой магический щит, в виде диска, служащего как стена. Сквозь щит невозможно пройти, ударить или пролететь снаряду (физическому или магическому), как в одну, так и в другую сторону. Щит перемещается вместе с целью.",Вспышка,"1 секунда, на поддержку требуется концентрация.","2 за одну сторону (грань) гекса, т.е. 6 за щит, окружающий 1 гекс или 8 за щит, закрывающий один гекс также сверху и снизу.  50% стоимост (окр. вверх) на поддержание",-,-
59,Массовый Скачок,Mass Leap,Обычное,"Вместе с заклинателем, позволяет переместить любое количество объектов на расстоянии 10 метров от заклинателя. Объекты двигаются в том же направлении, что и заклинатель.",Малый Скачок,2 секунды,5 за расстояние равное перемещению персонажа и за каждые 10 переносимых предметов,-,-
60,Солнечный щит,Solar shield,Обычное,"Маг создает магический щит света вокруг цели. Щит поглощает 50% повреждений от магии (окр. вверх), а также ярко сверкает и слепит всех, кто смотрит прямо на цель на расстоянии до 10 клеток. Все их проверки ловкости выполняются с DX-3. Щит имеет 15HT, которые тратятся при поглащении урона от магии или когда цель получает физический урон.  Если щит преждевременно разрушется, он взрывается, нанося 1d+2 урона огнем всем в радиусе 5 метров кроме самой цели, на которую был наложен.",Магический Щит,3 секунды,"3 за цель размером до 10 клеток, не поддерживается",1 минута,-
61,Рассвет,Dawn,Обычное,"Заклинатель вызывает рассвет - то есть утро нового дня. Если заклинание сотворено, пока Солнце еще не зашло, оно мгновенно перемещается на восток и начинается новый день.",???,1 минута,20,-,-
62,Тьма,Darkness,Областное,"Покрывает одну или более клеток кромешной тьмой. Находящийся в «темной» клетке может видеть наружу нормально, но не видит ничего в своей собственной и соседних «темных» клетках. Находящиеся снаружи не видят ничего кроме тьмы в «темных» клетках. Так что атаки из темных клеток не имею штрафов, а атаки в темноту: идут с –4 если защищающийся находиться в одиночной «темной» клетке, с –6 если вокруг есть еще «темные» клетки. Заклинание «зрение во тьме» (Dark Vision описанное в GURPS Magic) позволяет видеть через «тьму», «инфрозрение» (Infravision) – нет.",-,-,"2 на сотворение, 1 на поддержание",1 минута,"Пол, земля или ковер могут быть зачарованны таким образом, что площадь над ними (около 6 футов ~ 1.8 метра) остается постоянно во тьме. 120 энергии за клетку."
64,Скрыть,Hide,Обычное,"Осложняет поиск объекта. Нужен бросок Зрения, чтобы заметить объект в зоне прямой видимости; броски Чувства, чтобы обнаружить уже скрытый объект, с -1 за каждую единицу потраченной энергии, до максимума -5. Эти эффекты действуют, только пока объект неподвижен; если он двигается, а затем остановится до того, как заклинание развеется, эффекты возобновятся.",Размытее,5 секунд,1 - 5 на сотворение. Столько же на поддержание.,1 час,"(a) Украшение, палочка или посох; действует только на владельца. Энергостоимость создания: 1.000. (б) Любой предмет может быть «скрыт» навсегда, по энергостоимости 200 за пункт «скрытности»"
65,Ночное зрение,Night Vision,Обычное,"Пока есть хоть немного света, можно ясно видеть, как с Адаптацией к темноте 9. В полной темноте объект по-прежнему слеп.",Объект не должен страдать от Слепоты или Плохого зрения,-,"3 на сотворение, 1 на поддержание",1 минута,"Посох, палочка или украшение; действует только на владельца. Энергостоимость создания: 200"
66,Инфразрение,Infravision,Обычное,"Позволит видеть «инфракрасные» или тепловые лучи в дополнение к нормальному свету, как с преимуществом Инфразрение. Это заклинание не позволяет замечать невидимые объекты.",Объект не должен страдать от Слепоты или Плохого зрения,-,"3 на сотворение, 1 на поддержание",1 минута,"Посох, палочка или украшение; действует только на владельца. Энергостоимость создания: 100"
67,Убрать тень,Remove Shadow,Обычное; Сопротивление по Воле(Will),"Тень объекта исчезает. Несогласные объекты сопротивляются по Воле(Will). (Если источников света более одного, исчезнут все тени!)",Shade или Light,-,"2 на сотворение, 1 на поддержание",1 минута,-
68,Размытее,Blur,Обычное,"Объект становиться сложнее увидеть и, следовательно, усложняет попадание физическими атаками и заклинаниями. Каждое очко затраченной энергии (вплоть до 5) вычитается из эффективного уровня умений атакующего объект.",Тьма,2 секунды,от 1 до 5 на сотворение и поддержание,1 минута,"Посох, палочка или украшение; работает только на носителя. 100 энергии за каждое вычитаемое очко."
69,Зрение в темноте,Dark Vision,Обычное,"Объект может видеть даже в полной темноте, как с преимуществом Зрение в темноте. Также он может игнорировать эффекты заклинания Темнота.",Night Vision или Infravision,-,"5 на сотворение, 2 на поддержание",1 минута,"Посох, палочка или украшение; действует только на владельца. Энергостоимость создания: 400"
70,Формировать тьму,Shape Darkness,Областное,"Формирует и перемещает трехмерную темноту, созданную заклинаниями Темноты или Тьмы с БД (BM) 5. Также позволяет формировать существующие двумерные тени в другие двумерные формы. Тени легко уменьшаются, а увеличение делает их прозрачнее. Обычный случайный наблюдатель этого не заметит, но тот, кто пристально смотрит на тень, должен сделать бросок ИН(IQ), чтобы понять, что ей не хватает «плотности». Тени не обязаны оставаться прикрепленными к объектам, их отбросившими.",Тьма,-,2. Столько же на поддержание. Для двумерных теней базовая стоимость 1,1 минута,"Посох, палочка или украшение. Энергостоимость создания: 200"
71,Видеть невидимое,See Invisible,Обычное,"Объект может видеть что-нибудь скрытое заклинанием Невидимости или «естественной» невидимостью. Такие вещи будут немного прозрачными, так что сквозь них можно видеть и понять, что они невидимы для других.",Night Vision или Infravision или Invisibility,-,"4 на сотворение, 2 на поддержание",1 минута,"Посох, палочка или украшение; действует только на владельца. Энергостоимость создания: 400"
72,Анимировать тень,Animate Shadow,Обычное; Сопротивление по ЗД(HT),"Призывает духа, который оживляет тень объекта и нападает на него. Тень имеет: ИН(IQ) 9 ЗД(HT) 10 ЛВ(DX), равную эффективному умению мага СЛ(ST) Движение, равное таковым объекта.  Цель имеет оружие, которое жертва имела в руке на момент сотворения (даже если бросила его позже!), наносит только базовый вред (не учитывая премию за режущий или проникающий тип вреда) в виде изнуряющего. Броня не защищает, но атаки тени можно парировать или блокировать, если оружие или щит, используемые для этого, находились в руках объекта в момент сотворения заклинания. Когда ЕУ(FP) объекта достигают 0, он теряет сознание и заклинание прекращается. Оживленную тень можно атаковать, как обладателя Тела из тени; если ее ЕЖ(HP) доходят до 0, она «убита», и объект восстанавливает свою обычную тень.",Shape Darkness,2 секунды,4. То же на поддержание,5 секунд,-
73,Невидимость,Invisibility,Обычное,"Цель невозможно увидеть, она не появляется в отражениях или фотографиях. Однако она по-прежнему издает звуки и может быть выслежена по запаху или по следам. Что-либо поднятое субъектом, становится невидимым, если он не пожелает оставить этот предмет видимым. Невидимку можно обнаружить с помощью Видеть невидимое, но не с помощью Инфразрения. У невидимых персонажей огромное преимущество в бою",Размытее,3 секунды,"5 на сотворение, 3 на поддержание",1 минута,"(a) Украшение, палочка или посох; действует только на владельца. Энергостоимость создания: 1.200. (б) предмет можно сделать невидимым навсегда по 500 энергии за клетку размера или 50 фунтов веса, смотря, что больше."
74,Передача силы,Lend Strength,Обычное,Восстанавливает потерянные пункты усталости объекта. Не требует энергии от заклинателя. Не может увеличивать ST выше исходного уровня.  Стоимость: Любое количество энергии потраченное заклинателем идет на восстановление ST объекта. Пример: заклинатель тратит 5 энергии – объект получает 5 потерянных пунктов усталости. Стоимость заклинания не уменьшается за счет высокого уровня умения.,преимущество Эмпатия (Empathy),-,см. описание,-,"Посох, палочка или украшение. 100 энергии."
75,Передача здоровья,Lead Health,Обычное,"Тоже что и предыдущее заклинания, только вместо усталости восстанавливает HT объекта. Однако это «временное» лечение, HT переданное с помощью данного заклинания длится всего час, после чего исчезает. HT не может быть поднято выше исходного уровня.  Это заклинание не может быть поддержано; необходимо сотворять заново. Так что это только временная мера. Как и при передаче силы, стоимость заклинания не уменьшается за счет высокого уровня умения.",Передача силы,-,1 за очко передаваемого HT,1 час,"Посох, палочка или украшение. 250 энергии."
76,Аура,Aura,Информационное,"Показывает заклинателю светящийся ореол (ауру) вокруг объекта. Это аура дает заклинателю общую информацию о личности объекта. Чем лучше бросок, тем глубже знания. В частности аура показывает является ли объект магом (и насколько сильным); есть ли на объекте контроль (control) или овладивание (possession) любого рода и испытывает ли объект какие-то сильные эмоции. У каждого живого существа есть аура; у предметов ее нет. Зомби определяются по слабой ауре смерти. Вампиры сохраняют ту ауру, которая была при жизни.  `Иллюзии` и созданные существа не имеют ауры, так что успешное сотворение на них этого заклинания даст понять что это не реальное существо. Критический успех даст информацию о скрытых магических особенностях, таких как, оборотничество, вампиризм, неестественное долголетие и т.п.",-,-,3 (за объект любого размера),-,"Посох, палочка или украшение. Используемо только магами. 100 энерги"
77,Восприятие жизни,Sense Life,Информационное; Площадное,"Сообщает заклинателю, есть ли жизнь на в данном месте, и (при хорошем броске) обще представление какого типа эта жизнь. Заклинатель также может точно установить какого рода жизнь он ищет; растения, эльфов, девочек в красных шапочках, или конкретную личность с которой он знаком.",-,-,1/2 (минимум 1),-,"Посох, палочка или украшение. 80 энергии"
78,Восприятие врагов,Sense Foes,Информационное; Площадное,"Сообщает заклинателю чувствуются враждебные намерения и какова степень враждебности. Может быть сотворено на персону или на область. При сотворении на область будет сообщать лишь присутствие враждебности, но не сообщать кто или что враждебно.",-,-,1 (минимум 2),-,"Посох, палочка или украшение. 200 энергии"
79,Восприятие эмоций,Sense Emotions,Обычное,"Дает заклинателю знать о том, какие эмоции испытывает объект в данный момент. Сработает на любое живое существо, но не особо эффективно против слабо интеллектуальных. Сообщает также насколько лоялен объект к заклинателю (Читай о лояльности на стр. 195)",Восприятие врагов (Sense Foes),-,2,-,"Посох, палочка или украшение. 300 энергии"
80,Почуять духов,Sense Spirit,Информационное; Областное,"Обнаруживает любых духов, призраков, нежить и прочих подобных сверхъестественных существ в области действия. При успешном броске дает общее впечатление о видах присутствующих духов. Маг в момент сотворения может ограничить заклинание определенным типом сущностей, либо исключить какие-то из них.",Почуять жизнь  или Видение смерти,-,1/2 (минимум 1),-,-
81,Изгнать зомби,Turn Zombie,Областное,"Наносит 1d вреда любым существам в области, которые были подняты при помощи заклинания Зомби; СП(DR) не защищает. Кроме того, сделайте бросок 1d для каждого из зомби. При выпавшей 1, зомби убегает от мага.",-,4 секунды,2. Поддержание невозможно,Успешно изгнанный зомби будет избегать мага в течение одного дня.,"Посох, палочка, украшение. По решению Мастера, этот предмет может работать только для владельцев Благословения или Дарованной силы. Энергостоимость: 600"
82,Говорящий правду,Truthsayer,Информационное; Сопротивление по IQ,"Сообщает, лжет субъект или нет. Может быть сотворено в двух вариантах: (a) в каких местах объект лгал за последние пять минут. (b) когда объект последний раз говорил ложь. Если заклинатель не касается объекта, считать расстояние как для заклинаний типа Обычное.",Восприятие эмоций,-,1,мгновенно,"Корона, шлем или другой головной убор. 500 энергии"
83,Пробуждение,Awaken,Областное,"Будит объект(ы) и приводит их настороженное состояние; мгновенно отменяет эффекты оглушения (stun) и заклинания временного прекращения жизненных функций (Suspended Animation). Если объект очень сильно устал (ST меньше 3). Заклинание удержит его в настороженности только час, и это будет стоить ему 1 усталости. Не работает на тех, у кого ST 0 или меньше. Объект должен сделать бросок по HT чтобы проснуться, но с бонусом равным числу на которое успешнее бросок сотворения заклинания. Объект просыпается с –3 если он был без сознания из-за ран; -6 если находился под действием транквилизаторов.",-,-,1,-,Посох или палочка. Необходимо коснуться объекта. 300 энергии.
84,Легкое лечение,Minor Healing,Обычное,"Восстанавливает объекту до 3 HT. Не уничтожает болезни, но вылечит вред уже причиненный болезнью.  Это заклинание опасно при использовании больше чем раз в день на один объект. При второй попытке бросок с –3, третей с –6 и т.д.  Если ваше врачебное (Physician) умение на уровне 15 и выше, «критический провал» при использовании этого заклинания является лишь обычным провалом – если это не вторая и более попытка за день на один объект.",Lend Health,тоже количество HT восстанавливается у объекта.,от 1 до 3,-,-
85,Серьезное лечение,Major Healing (VH),Обычное,"Восстанавливает объекту до 8 HT. Не уничтожает болезни, но вылечит вред уже причиненный болезнью.  Это заклинание опасно при использовании больше чем раз в день на один объект. При второй попытке бросок с –3, третей с –6 и т.д.  Если ваше врачебное (Physician) умение на уровне 15 и выше, «критический провал» при использовании этого заклинания является лишь обычным провалом – если это не вторая и более попытка за день на один объект. Однако можно использовать отдельно легкое лечение (Minor Healing) и серозное лечение (Major Healing) в один день на одного пациента без штрафов.",Легкое лечение,объект восстанавливает вдвое большее количество HT.,от 1 до 4,-,-
86,Рассеять магию,Dispel,-,-,-,-,-,-,-
88,Сон,Sleep,"Обычное, Защита по HT","Объект засыпает. Если он стоял – падает на землю; падение не пробуждает его. Он может быть разбужен ударом, громким звуком и т.п. но будет ментально оглушен (см. стр. 127). Заклинание «побуждение» (Awaken) разбудит его немедленно.",Пробуждение,3 секунды,4,-,"(a) Любой предмет. Всегда включен; погружает носителя в сон, до того момента пока предмет не будет снят. При создании предмета заклинатель определяет – будет эффект сна постепенным, или немедленным. 600 энергии. (b) Посох или палочка. Используемо только магами. Необходимо коснуться объекта. 1200 энергии."
89,Очищение,Cleansing,Обычное,"Избавляет цель от ``дурных мыслей`` и одного любого негативного состояния (страх, неистово, оглушение, привычка и т.п.). Позволяет цели немедленно произвести одну дополнительную проверку с бонусом +5. Не пробуждает цель, но может избавить от ужастного сна.  Успешная проверка избавит цель от недуга; провальная – ничего не происходит. Критический успех – состояние полностью нормализовано (избавляет от всех негативных эффектов) и восстанавливает в 2 ед. усталости (единицы усталости не восстанавливаются при применении на самого заклинателя). Критическая неудача заставляет цель потерять сознание (сопротивление по HT-5).",Пробуждение,2,2,-,"Посох, палочка или украшение. 500 энергии."
90,Сосуд души,Soul Jar,Обычное,"Заключает душу объекта в некотором объекте (который должен присутствовать). Если объектом не является маг, объект должен присутствовать при сотворении, и быть желающим или бессознательным.  Когда ваша душа находится в «сосуде», заклинание не действует, пока тело не умрет, или не будет уничтожен сосуд. Смерть тела не убивает вас. Сознание перемещается в «сосуд», откуда вы можете видеть, слышать и даже колдовать любые заклинания, известные вам на уровне 20 (то есть не требующие ни речи, ни жестов). Вы можете общаться на расстоянии при помощи подходящих заклинаний, если вам такие известны – или прямым ментальным контактом с любым, кто держит сосуд. Ваши ЕУ(FP) сохраняются. Вы не можете тратить ЕЖ(HP), но можете использовать любой энергокамень, касающийся вашего сосуда.  Когда новое тело оказывается поблизости от сосуда, вы можете захватить его при помощи Переселения, Постоянного переселения или Обмена телами, если вам они знакомы. В этом случае душа данного тела занимает ваше место в сосуде. Пока ваша душа находится в сосуде, его уничтожение убьет вас навсегда – без надежды на воскрешение – даже если тело невредимо.  Это заклинание можно сотворить еще раз, чтобы переместить душу в новый сосуд.",Шесть заклинаний Некромантии или Духа,1 минута,8,Постоянно,-
91,Великое лечение,Great Healing,Обычное,"Восстанавливает все недостающие ЕЖ(HP) объекта. Не устранит ни болезнь или отравление, ни поврежденные или недостающие части тела, но может излечить ЕЖ(HP), потерянные любым образом.  Любой объект может быть вылечен данным заклинанием только раз в день, независимо сотворено ли оно одним заклинателем или разными.  Если есть умение Врач уровня 15 или выше, критическая неудача считается обычной.",Major Healing,1 минута,20. Одна попытка в день на один объект,-,Палочка или посох с образом змеи. Предмет должен коснуться объекта. Используется магами либо немагами с умением Врач уровня 25 и выше. Энергостоимость создания: 4.000
92,Целительный сон,Healing Slumber,"Обычное, Автоматическое сопротивление","Объект впадает в глубокий укрепляющий сон, и излечивает 1 ЕЖ(HP) в течение каждого часа отдыха. Усталость восстанавливается с удвоенной скоростью.  Объект проснется, когда полностью излечится, или после 8 часов сна; за это время также полностью восстановится усталость от недосыпа. Также может быть разбужен словом заклинателя, раной или заклинанием Пробудить (Удалить Проклятие, Противозаклинание, и т.д.). Возражающий объект сопротивляется автоматически.",Сон и Малое лечение,30 секунд,6. За 10 скорость восстановления удвоится. Максимум восстановления не меняется.,до 8 часов (максимум восстанавливает 8 ЕЖ(HP) в день),-
94,Воскрешение,Resurrection,Обычное,"Возвращает объект к жизни, при условии, что тело, или большая его часть, доступно (по решению Мастера). Отметьте, что тело, достигшее -10хЕЖ, по определению слишком повреждено для воскрешения. Возрожденный объект имеет 0 ЕУ(FP) и ЕЖ(HP), и должен восстановить их обычным способом. Независимо от убивших ран, все его члены будут целыми. За каждые сутки после смерти объекта заклинание получает штраф -1.",****,2 часа,300. Одна попытка,"Навсегда, пока снова не убьют",-
95,Массовый сон,Mass Sleep,Областное; Защита по HT,"Тоже и самое что Сон, но действует на большие площади.","Sleep, IQ 13+",1 секунда за каждое очко энергии вложенной в заклинание,3. Минимальный радиус 2 клетки (6 энергии),-,-
96,Любимец животных,Beast-Soother,Обычное,"Позволяет успокоить одно животное. Бросок на реакцию со стороны животного к заклинателю улучшается на удвоенное количество энергии, потраченной на заклинание.",Убеждение (Persuasion) или преимущество Друг животных.,-,от 1 до 3,"постоянно, пока что-то не встревожит животное.","посох, палочка или украшение. 600 энергии."
97,Соколиный глаз,Hawk Vision,Обычное,"Объект получает необычайную ясность зрения и способность «приближать» отдаленные объекты аналогично Телескопическому зрению. Каждый уровень позволяет игнорировать -1 штрафа за расстояние на любой бросок зрения или -2, если используется маневр Прицеливание. Также это заклинание может использоваться и как оптический прицел – давая вам премию 1 Точ за уровень, когда вы целитесь в течение количества секунд, равного получаемой премии. Выгоды заклинания не складываются с таковыми от технологических устройств – типа биноклей или прицелов. Если у вас есть и то и другое, надо выбрать что-то одно.",Объект не должен страдать от Слепоты или Плохого зрения,2,2 за уровень Телескопического зрения. Половина на поддержание,1 минута,Одежда или украшение с изображением сокола. Действует только на владельца. Энергостоимость создания: 400
98,Внутренний наездник,Rider Within,Обычное,"Работает на любое животное (но не на разумное создание). Заклинатель получает возможность видеть из глаз объекта, слышать его ушами и т.д. Эффект продолжается пока заклинатель концентрируется. (он остается осведомленным о состоянии собственного тела и может действовать как обычно) Заклинатель не получает никакого контроля над объектом, и объект не осведомлен о том, что у него «внутренний наездник».",-,3 секунды,"4 сотворение, 1 поддержание",1 минута,"Два одинаковых ювелирных изделия, одно золотое, другое серебряное. Золотое должно быть надето на заклинателя, серебряное на объект (обычно на ошейник). После чего заклинание может быть использовано в любой момент. Используется только магами. Если камень силы встраивается в изделие - то в золотое. Если одно изделие сломано - второе теряет Магичность(Magery). Энергостоимость создания: 1000 за пару и каждое должно нести опал не дешевле, чем $100"
